SVM,submodalidade_engineered,TRUE,tuning_cv,787.685.385.255.432,,,"{'smote': SMOTE(random_state=42), 'svc__C': 10}",2026-06-06 19:00:20.211702
SVM,submodalidade_engineered,TRUE,test,7.873.593.658.188.620,7.426.406.577.462.510,7.086.329.622.193.830,"{'smote': SMOTE(random_state=42), 'svc__C': 10}",2026-06-06 19:00:36.196685
SVM,submodalidade_engineered,FALSE,tuning_cv,7.877.302.619.191.640,,,"{'smote': 'passthrough', 'svc__C': 10}",2026-06-06 19:00:36.197489
SVM,submodalidade_engineered,FALSE,test,7.874.621.892.953.780,7.405.902.928.897.270,7.062.785.179.777.330,"{'smote': 'passthrough', 'svc__C': 10}",2026-06-06 19:00:47.196145
XGBoost,sem_submodalidade,TRUE,tuning_cv,9.192.121.634.739.750,,,"{'smote': SMOTE(random_state=42), 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:20:00.160313
XGBoost,sem_submodalidade,TRUE,test,9.194.155.770.584.290,8.502.793.296.089.380,8.336.922.796.130.680,"{'smote': SMOTE(random_state=42), 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:20:06.434732
XGBoost,sem_submodalidade,FALSE,tuning_cv,9.260.677.775.257.060,,,"{'smote': 'passthrough', 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:20:06.435571
XGBoost,sem_submodalidade,FALSE,test,9.269.083.748.467.400,8.628.291.289.243.850,8.457.747.764.190.540,"{'smote': 'passthrough', 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:20:09.789878
XGBoost,submodalidade_agrupada,TRUE,tuning_cv,9.393.894.577.070.750,,,"{'smote': SMOTE(random_state=42), 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:32:39.024689
XGBoost,submodalidade_agrupada,TRUE,test,9.394.175.832.209.270,8.741.532.047.941.630,8.589.523.635.699.940,"{'smote': SMOTE(random_state=42), 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:32:47.064786
XGBoost,submodalidade_agrupada,FALSE,tuning_cv,9.428.139.580.584.160,,,"{'smote': 'passthrough', 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:32:47.065498
XGBoost,submodalidade_agrupada,FALSE,test,9.431.096.826.368.810,8.800.167.695.954.330,8.641.905.457.200.210,"{'smote': 'passthrough', 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:32:50.143136
XGBoost,submodalidade_engineered,TRUE,tuning_cv,9.333.134.653.639.810,,,"{'smote': SMOTE(random_state=42), 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:43:58.613769
XGBoost,submodalidade_engineered,TRUE,test,933.226.293.008.955,8.674.191.759.371.020,8.516.517.612.703.040,"{'smote': SMOTE(random_state=42), 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:44:05.077899
XGBoost,submodalidade_engineered,FALSE,tuning_cv,9.375.999.072.819.820,,,"{'smote': 'passthrough', 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:44:05.078782
XGBoost,submodalidade_engineered,FALSE,test,9.379.835.538.531.160,874.468.944.350.214,8.581.675.488.227.770,"{'smote': 'passthrough', 'xgb__colsample_bytree': 1, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 5, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",2026-06-06 19:44:06.944992
